5.6,3.0,4.5,1.5
6.4,2.8,5.6,2.2
4.6,3.2,1.4,0.2
5.7,2.9,4.2,1.3
6.8,3.0,5.5,2.1
4.8,3.0,1.4,0.3
6.3,2.7,4.9,1.8
5.7,3.0,4.2,1.2
5.7,4.4,1.5,0.4
5.1,3.7,1.5,0.4
6.1,2.6,5.6,1.4
6.0,3.4,4.5,1.6
6.0,3.0,4.8,1.8
4.3,3.0,1.1,0.1
7.7,3.8,6.7,2.2
6.0,2.7,5.1,1.6
6.3,2.5,4.9,1.5
6.0,2.9,4.5,1.5
5.8,2.8,5.1,2.4
4.4,2.9,1.4,0.2
6.4,3.2,5.3,2.3
6.3,3.3,6.0,2.5
5.0,3.5,1.6,0.6
6.4,2.8,5.6,2.1
5.5,2.4,3.8,1.1
4.7,3.2,1.3,0.2
6.7,3.1,4.7,1.5
5.2,2.7,3.9,1.4
6.5,2.8,4.6,1.5
5.4,3.0,4.5,1.5
5.8,4.0,1.2,0.2
5.1,3.5,1.4,0.3
5.7,2.6,3.5,1.0
6.1,3.0,4.6,1.4
5.0,2.3,3.3,1.0
5.5,3.5,1.3,0.2
5.6,2.9,3.6,1.3
7.1,3.0,5.9,2.1
6.9,3.1,5.4,2.1
6.4,2.9,4.3,1.3
5.1,3.8,1.5,0.3
6.3,2.5,5.0,1.9
7.9,3.8,6.4,2.0
5.1,3.5,1.4,0.2
6.1,2.8,4.7,1.2
6.0,2.2,4.0,1.0
5.3,3.7,1.5,0.2
5.5,4.2,1.4,0.2
5.7,2.8,4.5,1.3
7.2,3.2,6.0,1.8
